,image,mask
0,data_lits/data_C1/images_C1/image7_slice359.jpg,data_lits/data_C1/masks_C1/mask7_slice359.jpg
1,data_lits/data_C1/images_C1/image7_slice360.jpg,data_lits/data_C1/masks_C1/mask7_slice360.jpg
2,data_lits/data_C1/images_C1/image7_slice361.jpg,data_lits/data_C1/masks_C1/mask7_slice361.jpg
3,data_lits/data_C1/images_C1/image7_slice362.jpg,data_lits/data_C1/masks_C1/mask7_slice362.jpg
4,data_lits/data_C1/images_C1/image7_slice363.jpg,data_lits/data_C1/masks_C1/mask7_slice363.jpg
5,data_lits/data_C1/images_C1/image7_slice364.jpg,data_lits/data_C1/masks_C1/mask7_slice364.jpg
6,data_lits/data_C1/images_C1/image7_slice365.jpg,data_lits/data_C1/masks_C1/mask7_slice365.jpg
7,data_lits/data_C1/images_C1/image7_slice366.jpg,data_lits/data_C1/masks_C1/mask7_slice366.jpg
8,data_lits/data_C1/images_C1/image7_slice367.jpg,data_lits/data_C1/masks_C1/mask7_slice367.jpg
9,data_lits/data_C1/images_C1/image7_slice368.jpg,data_lits/data_C1/masks_C1/mask7_slice368.jpg
10,data_lits/data_C1/images_C1/image7_slice369.jpg,data_lits/data_C1/masks_C1/mask7_slice369.jpg
11,data_lits/data_C1/images_C1/image7_slice370.jpg,data_lits/data_C1/masks_C1/mask7_slice370.jpg
12,data_lits/data_C1/images_C1/image7_slice371.jpg,data_lits/data_C1/masks_C1/mask7_slice371.jpg
13,data_lits/data_C1/images_C1/image7_slice372.jpg,data_lits/data_C1/masks_C1/mask7_slice372.jpg
14,data_lits/data_C1/images_C1/image7_slice373.jpg,data_lits/data_C1/masks_C1/mask7_slice373.jpg
15,data_lits/data_C1/images_C1/image7_slice374.jpg,data_lits/data_C1/masks_C1/mask7_slice374.jpg
16,data_lits/data_C1/images_C1/image7_slice375.jpg,data_lits/data_C1/masks_C1/mask7_slice375.jpg
17,data_lits/data_C1/images_C1/image7_slice376.jpg,data_lits/data_C1/masks_C1/mask7_slice376.jpg
18,data_lits/data_C1/images_C1/image7_slice377.jpg,data_lits/data_C1/masks_C1/mask7_slice377.jpg
19,data_lits/data_C1/images_C1/image7_slice378.jpg,data_lits/data_C1/masks_C1/mask7_slice378.jpg
20,data_lits/data_C1/images_C1/image7_slice379.jpg,data_lits/data_C1/masks_C1/mask7_slice379.jpg
21,data_lits/data_C1/images_C1/image7_slice380.jpg,data_lits/data_C1/masks_C1/mask7_slice380.jpg
22,data_lits/data_C1/images_C1/image7_slice381.jpg,data_lits/data_C1/masks_C1/mask7_slice381.jpg
23,data_lits/data_C1/images_C1/image7_slice382.jpg,data_lits/data_C1/masks_C1/mask7_slice382.jpg
24,data_lits/data_C1/images_C1/image7_slice383.jpg,data_lits/data_C1/masks_C1/mask7_slice383.jpg
25,data_lits/data_C1/images_C1/image7_slice384.jpg,data_lits/data_C1/masks_C1/mask7_slice384.jpg
26,data_lits/data_C1/images_C1/image7_slice385.jpg,data_lits/data_C1/masks_C1/mask7_slice385.jpg
