fileList,sizeType
data/data_C6/images_C6/EndoCV2021_C6_0100001.jpg,"[0, 0, 0, 1]"
data/data_C6/images_C6/EndoCV2021_C6_0100003.jpg,"[0, 0, 0, 1]"
data/data_C6/images_C6/EndoCV2021_C6_0100004.jpg,"[0, 0, 0, 1]"
data/data_C6/images_C6/EndoCV2021_C6_0100005.jpg,"[0, 0, 0, 1]"
data/data_C6/images_C6/EndoCV2021_C6_0100006.jpg,"[0, 0, 0, 1]"
data/data_C6/images_C6/EndoCV2021_C6_0100007.jpg,"[0, 0, 0, 1]"
data/data_C6/images_C6/EndoCV2021_C6_0100008.jpg,"[0, 0, 0, 1]"
data/data_C6/images_C6/EndoCV2021_C6_0100009.jpg,"[0, 0, 0, 1]"
data/data_C6/images_C6/EndoCV2021_C6_0100010.jpg,"[0, 0, 0, 1]"
data/data_C6/images_C6/EndoCV2021_C6_0100011.jpg,"[0, 0, 0, 1]"
data/data_C6/images_C6/EndoCV2021_C6_0100012.jpg,"[0, 0, 0, 1]"
data/data_C6/images_C6/EndoCV2021_C6_0100013.jpg,"[0, 0, 0, 1]"
data/data_C6/images_C6/EndoCV2021_C6_0100014.jpg,"[0, 0, 0, 1]"
data/data_C6/images_C6/EndoCV2021_C6_0100015.jpg,"[0, 0, 0, 1]"
data/data_C6/images_C6/EndoCV2021_C6_0100017.jpg,"[0, 0, 0, 1]"
data/data_C6/images_C6/EndoCV2021_C6_0100018.jpg,"[0, 0, 0, 1]"
data/data_C6/images_C6/EndoCV2021_C6_0100019.jpg,"[0, 0, 0, 1]"
data/data_C6/images_C6/EndoCV2021_C6_0100020.jpg,"[0, 0, 1, 0]"
data/data_C6/images_C6/EndoCV2021_C6_0100021.jpg,"[0, 0, 0, 1]"
data/data_C6/images_C6/EndoCV2021_C6_0100022.jpg,"[0, 0, 0, 1]"
data/data_C6/images_C6/EndoCV2021_C6_0100023.jpg,"[0, 0, 0, 1]"
data/data_C6/images_C6/EndoCV2021_C6_0100025.jpg,"[0, 0, 1, 1]"
data/data_C6/images_C6/EndoCV2021_C6_0100027.jpg,"[0, 0, 0, 1]"
data/data_C6/images_C6/EndoCV2021_C6_0100028.jpg,"[0, 0, 0, 1]"
