,image,mask
0,data/data_C6/images_C6/EndoCV2021_C6_0100102.jpg,data/data_C6/masks_C6/EndoCV2021_C6_0100102_mask.jpg
1,data/data_C6/images_C6/EndoCV2021_C6_0100049.jpg,data/data_C6/masks_C6/EndoCV2021_C6_0100049_mask.jpg
2,data/data_C6/images_C6/EndoCV2021_C6_0100027.jpg,data/data_C6/masks_C6/EndoCV2021_C6_0100027_mask.jpg
3,data/data_C6/images_C6/EndoCV2021_C6_0100008.jpg,data/data_C6/masks_C6/EndoCV2021_C6_0100008_mask.jpg
4,data/data_C6/images_C6/EndoCV2021_C6_0100075.jpg,data/data_C6/masks_C6/EndoCV2021_C6_0100075_mask.jpg
5,data/data_C6/images_C6/EndoCV2021_C6_0100060.jpg,data/data_C6/masks_C6/EndoCV2021_C6_0100060_mask.jpg
6,data/data_C6/images_C6/EndoCV2021_C6_0100108.jpg,data/data_C6/masks_C6/EndoCV2021_C6_0100108_mask.jpg
7,data/data_C6/images_C6/EndoCV2021_C6_0100067.jpg,data/data_C6/masks_C6/EndoCV2021_C6_0100067_mask.jpg
8,data/data_C6/images_C6/EndoCV2021_C6_0100092.jpg,data/data_C6/masks_C6/EndoCV2021_C6_0100092_mask.jpg
9,data/data_C6/images_C6/EndoCV2021_C6_0100107.jpg,data/data_C6/masks_C6/EndoCV2021_C6_0100107_mask.jpg
10,data/data_C6/images_C6/EndoCV2021_C6_0100110.jpg,data/data_C6/masks_C6/EndoCV2021_C6_0100110_mask.jpg
11,data/data_C6/images_C6/EndoCV2021_C6_0100005.jpg,data/data_C6/masks_C6/EndoCV2021_C6_0100005_mask.jpg
12,data/data_C6/images_C6/EndoCV2021_C6_0100076.jpg,data/data_C6/masks_C6/EndoCV2021_C6_0100076_mask.jpg
13,data/data_C6/images_C6/EndoCV2021_C6_0100094.jpg,data/data_C6/masks_C6/EndoCV2021_C6_0100094_mask.jpg
14,data/data_C6/images_C6/EndoCV2021_C6_0100033.jpg,data/data_C6/masks_C6/EndoCV2021_C6_0100033_mask.jpg
15,data/data_C6/images_C6/EndoCV2021_C6_0100021.jpg,data/data_C6/masks_C6/EndoCV2021_C6_0100021_mask.jpg
16,data/data_C6/images_C6/EndoCV2021_C6_0100062.jpg,data/data_C6/masks_C6/EndoCV2021_C6_0100062_mask.jpg
17,data/data_C6/images_C6/EndoCV2021_C6_0100063.jpg,data/data_C6/masks_C6/EndoCV2021_C6_0100063_mask.jpg
18,data/data_C6/images_C6/EndoCV2021_C6_0100093.jpg,data/data_C6/masks_C6/EndoCV2021_C6_0100093_mask.jpg
19,data/data_C6/images_C6/EndoCV2021_C6_0100073.jpg,data/data_C6/masks_C6/EndoCV2021_C6_0100073_mask.jpg
20,data/data_C6/images_C6/EndoCV2021_C6_0100068.jpg,data/data_C6/masks_C6/EndoCV2021_C6_0100068_mask.jpg
21,data/data_C6/images_C6/EndoCV2021_C6_0100006.jpg,data/data_C6/masks_C6/EndoCV2021_C6_0100006_mask.jpg
22,data/data_C6/images_C6/EndoCV2021_C6_0100018.jpg,data/data_C6/masks_C6/EndoCV2021_C6_0100018_mask.jpg
23,data/data_C6/images_C6/EndoCV2021_C6_0100020.jpg,data/data_C6/masks_C6/EndoCV2021_C6_0100020_mask.jpg
24,data/data_C6/images_C6/EndoCV2021_C6_0100046.jpg,data/data_C6/masks_C6/EndoCV2021_C6_0100046_mask.jpg
25,data/data_C6/images_C6/EndoCV2021_C6_0100044.jpg,data/data_C6/masks_C6/EndoCV2021_C6_0100044_mask.jpg
26,data/data_C6/images_C6/EndoCV2021_C6_0100007.jpg,data/data_C6/masks_C6/EndoCV2021_C6_0100007_mask.jpg
27,data/data_C6/images_C6/EndoCV2021_C6_0100109.jpg,data/data_C6/masks_C6/EndoCV2021_C6_0100109_mask.jpg
28,data/data_C6/images_C6/EndoCV2021_C6_0100088.jpg,data/data_C6/masks_C6/EndoCV2021_C6_0100088_mask.jpg
29,data/data_C6/images_C6/EndoCV2021_C6_0100001.jpg,data/data_C6/masks_C6/EndoCV2021_C6_0100001_mask.jpg
30,data/data_C6/images_C6/EndoCV2021_C6_0100040.jpg,data/data_C6/masks_C6/EndoCV2021_C6_0100040_mask.jpg
31,data/data_C6/images_C6/EndoCV2021_C6_0100034.jpg,data/data_C6/masks_C6/EndoCV2021_C6_0100034_mask.jpg
32,data/data_C6/images_C6/EndoCV2021_C6_0100013.jpg,data/data_C6/masks_C6/EndoCV2021_C6_0100013_mask.jpg
33,data/data_C6/images_C6/EndoCV2021_C6_0100041.jpg,data/data_C6/masks_C6/EndoCV2021_C6_0100041_mask.jpg
34,data/data_C6/images_C6/EndoCV2021_C6_0100028.jpg,data/data_C6/masks_C6/EndoCV2021_C6_0100028_mask.jpg
35,data/data_C6/images_C6/EndoCV2021_C6_0100065.jpg,data/data_C6/masks_C6/EndoCV2021_C6_0100065_mask.jpg
36,data/data_C6/images_C6/EndoCV2021_C6_0100012.jpg,data/data_C6/masks_C6/EndoCV2021_C6_0100012_mask.jpg
37,data/data_C6/images_C6/EndoCV2021_C6_0100037.jpg,data/data_C6/masks_C6/EndoCV2021_C6_0100037_mask.jpg
38,data/data_C6/images_C6/EndoCV2021_C6_0100074.jpg,data/data_C6/masks_C6/EndoCV2021_C6_0100074_mask.jpg
39,data/data_C6/images_C6/EndoCV2021_C6_0100071.jpg,data/data_C6/masks_C6/EndoCV2021_C6_0100071_mask.jpg
40,data/data_C6/images_C6/EndoCV2021_C6_0100091.jpg,data/data_C6/masks_C6/EndoCV2021_C6_0100091_mask.jpg
41,data/data_C6/images_C6/EndoCV2021_C6_0100003.jpg,data/data_C6/masks_C6/EndoCV2021_C6_0100003_mask.jpg
42,data/data_C6/images_C6/EndoCV2021_C6_0100038.jpg,data/data_C6/masks_C6/EndoCV2021_C6_0100038_mask.jpg
43,data/data_C6/images_C6/EndoCV2021_C6_0100101.jpg,data/data_C6/masks_C6/EndoCV2021_C6_0100101_mask.jpg
44,data/data_C6/images_C6/EndoCV2021_C6_0100017.jpg,data/data_C6/masks_C6/EndoCV2021_C6_0100017_mask.jpg
45,data/data_C6/images_C6/EndoCV2021_C6_0100112.jpg,data/data_C6/masks_C6/EndoCV2021_C6_0100112_mask.jpg
46,data/data_C6/images_C6/EndoCV2021_C6_0100022.jpg,data/data_C6/masks_C6/EndoCV2021_C6_0100022_mask.jpg
47,data/data_C6/images_C6/EndoCV2021_C6_0100035.jpg,data/data_C6/masks_C6/EndoCV2021_C6_0100035_mask.jpg
48,data/data_C6/images_C6/EndoCV2021_C6_0100061.jpg,data/data_C6/masks_C6/EndoCV2021_C6_0100061_mask.jpg
49,data/data_C6/images_C6/EndoCV2021_C6_0100114.jpg,data/data_C6/masks_C6/EndoCV2021_C6_0100114_mask.jpg
50,data/data_C6/images_C6/EndoCV2021_C6_0100116.jpg,data/data_C6/masks_C6/EndoCV2021_C6_0100116_mask.jpg
51,data/data_C6/images_C6/EndoCV2021_C6_0100089.jpg,data/data_C6/masks_C6/EndoCV2021_C6_0100089_mask.jpg
52,data/data_C6/images_C6/EndoCV2021_C6_0100023.jpg,data/data_C6/masks_C6/EndoCV2021_C6_0100023_mask.jpg
53,data/data_C6/images_C6/EndoCV2021_C6_0100111.jpg,data/data_C6/masks_C6/EndoCV2021_C6_0100111_mask.jpg
54,data/data_C6/images_C6/EndoCV2021_C6_0100031.jpg,data/data_C6/masks_C6/EndoCV2021_C6_0100031_mask.jpg
55,data/data_C6/images_C6/EndoCV2021_C6_0100043.jpg,data/data_C6/masks_C6/EndoCV2021_C6_0100043_mask.jpg
56,data/data_C6/images_C6/EndoCV2021_C6_0100056.jpg,data/data_C6/masks_C6/EndoCV2021_C6_0100056_mask.jpg
