,image,mask
0,data/data_C4/images_C4/10_endocv2021_positive_1006.jpg,data/data_C4/masks_C4/10_endocv2021_positive_1006_mask.jpg
1,data/data_C4/images_C4/10_endocv2021_positive_1087.jpg,data/data_C4/masks_C4/10_endocv2021_positive_1087_mask.jpg
2,data/data_C4/images_C4/10_endocv2021_positive_499.jpg,data/data_C4/masks_C4/10_endocv2021_positive_499_mask.jpg
3,data/data_C4/images_C4/10_endocv2021_positive_584.jpg,data/data_C4/masks_C4/10_endocv2021_positive_584_mask.jpg
4,data/data_C4/images_C4/10_endocv2021_positive_895.jpg,data/data_C4/masks_C4/10_endocv2021_positive_895_mask.jpg
5,data/data_C4/images_C4/10_endocv2021_positive_950.jpg,data/data_C4/masks_C4/10_endocv2021_positive_950_mask.jpg
6,data/data_C4/images_C4/11_endocv2021_positive_1228.jpg,data/data_C4/masks_C4/11_endocv2021_positive_1228_mask.jpg
7,data/data_C4/images_C4/11_endocv2021_positive_1344.jpg,data/data_C4/masks_C4/11_endocv2021_positive_1344_mask.jpg
8,data/data_C4/images_C4/11_endocv2021_positive_146.jpg,data/data_C4/masks_C4/11_endocv2021_positive_146_mask.jpg
9,data/data_C4/images_C4/11_endocv2021_positive_1475.jpg,data/data_C4/masks_C4/11_endocv2021_positive_1475_mask.jpg
10,data/data_C4/images_C4/11_endocv2021_positive_61.jpg,data/data_C4/masks_C4/11_endocv2021_positive_61_mask.jpg
11,data/data_C4/images_C4/11_endocv2021_positive_625.jpg,data/data_C4/masks_C4/11_endocv2021_positive_625_mask.jpg
12,data/data_C4/images_C4/11_endocv2021_positive_843.jpg,data/data_C4/masks_C4/11_endocv2021_positive_843_mask.jpg
13,data/data_C4/images_C4/11_endocv2021_positive_861.jpg,data/data_C4/masks_C4/11_endocv2021_positive_861_mask.jpg
14,data/data_C4/images_C4/11_endocv2021_positive_900.jpg,data/data_C4/masks_C4/11_endocv2021_positive_900_mask.jpg
15,data/data_C4/images_C4/11_endocv2021_positive_948.jpg,data/data_C4/masks_C4/11_endocv2021_positive_948_mask.jpg
16,data/data_C4/images_C4/11_endocv2021_positive_968.jpg,data/data_C4/masks_C4/11_endocv2021_positive_968_mask.jpg
17,data/data_C4/images_C4/11_endocv2021_positive_976.jpg,data/data_C4/masks_C4/11_endocv2021_positive_976_mask.jpg
18,data/data_C4/images_C4/12_endocv2021_positive_148.jpg,data/data_C4/masks_C4/12_endocv2021_positive_148_mask.jpg
19,data/data_C4/images_C4/12_endocv2021_positive_25.jpg,data/data_C4/masks_C4/12_endocv2021_positive_25_mask.jpg
20,data/data_C4/images_C4/12_endocv2021_positive_289.jpg,data/data_C4/masks_C4/12_endocv2021_positive_289_mask.jpg
21,data/data_C4/images_C4/12_endocv2021_positive_38.jpg,data/data_C4/masks_C4/12_endocv2021_positive_38_mask.jpg
22,data/data_C4/images_C4/12_endocv2021_positive_503.jpg,data/data_C4/masks_C4/12_endocv2021_positive_503_mask.jpg
23,data/data_C4/images_C4/12_endocv2021_positive_566.jpg,data/data_C4/masks_C4/12_endocv2021_positive_566_mask.jpg
24,data/data_C4/images_C4/12_endocv2021_positive_679.jpg,data/data_C4/masks_C4/12_endocv2021_positive_679_mask.jpg
25,data/data_C4/images_C4/12_endocv2021_positive_768.jpg,data/data_C4/masks_C4/12_endocv2021_positive_768_mask.jpg
26,data/data_C4/images_C4/12_endocv2021_positive_895.jpg,data/data_C4/masks_C4/12_endocv2021_positive_895_mask.jpg
27,data/data_C4/images_C4/12_endocv2021_positive_979.jpg,data/data_C4/masks_C4/12_endocv2021_positive_979_mask.jpg
28,data/data_C4/images_C4/13_endocv2021_positive_222.jpg,data/data_C4/masks_C4/13_endocv2021_positive_222_mask.jpg
29,data/data_C4/images_C4/13_endocv2021_positive_464.jpg,data/data_C4/masks_C4/13_endocv2021_positive_464_mask.jpg
30,data/data_C4/images_C4/13_endocv2021_positive_550.jpg,data/data_C4/masks_C4/13_endocv2021_positive_550_mask.jpg
31,data/data_C4/images_C4/13_endocv2021_positive_573.jpg,data/data_C4/masks_C4/13_endocv2021_positive_573_mask.jpg
32,data/data_C4/images_C4/14_endocv2021_positive_1069.jpg,data/data_C4/masks_C4/14_endocv2021_positive_1069_mask.jpg
33,data/data_C4/images_C4/14_endocv2021_positive_1119.jpg,data/data_C4/masks_C4/14_endocv2021_positive_1119_mask.jpg
34,data/data_C4/images_C4/14_endocv2021_positive_1242.jpg,data/data_C4/masks_C4/14_endocv2021_positive_1242_mask.jpg
35,data/data_C4/images_C4/14_endocv2021_positive_1266.jpg,data/data_C4/masks_C4/14_endocv2021_positive_1266_mask.jpg
36,data/data_C4/images_C4/14_endocv2021_positive_1435.jpg,data/data_C4/masks_C4/14_endocv2021_positive_1435_mask.jpg
37,data/data_C4/images_C4/14_endocv2021_positive_192.jpg,data/data_C4/masks_C4/14_endocv2021_positive_192_mask.jpg
38,data/data_C4/images_C4/14_endocv2021_positive_230.jpg,data/data_C4/masks_C4/14_endocv2021_positive_230_mask.jpg
39,data/data_C4/images_C4/14_endocv2021_positive_302.jpg,data/data_C4/masks_C4/14_endocv2021_positive_302_mask.jpg
40,data/data_C4/images_C4/14_endocv2021_positive_421.jpg,data/data_C4/masks_C4/14_endocv2021_positive_421_mask.jpg
41,data/data_C4/images_C4/14_endocv2021_positive_491.jpg,data/data_C4/masks_C4/14_endocv2021_positive_491_mask.jpg
42,data/data_C4/images_C4/14_endocv2021_positive_503.jpg,data/data_C4/masks_C4/14_endocv2021_positive_503_mask.jpg
43,data/data_C4/images_C4/14_endocv2021_positive_519.jpg,data/data_C4/masks_C4/14_endocv2021_positive_519_mask.jpg
44,data/data_C4/images_C4/14_endocv2021_positive_782.jpg,data/data_C4/masks_C4/14_endocv2021_positive_782_mask.jpg
45,data/data_C4/images_C4/14_endocv2021_positive_864.jpg,data/data_C4/masks_C4/14_endocv2021_positive_864_mask.jpg
46,data/data_C4/images_C4/20_endocv2021_positive_782.jpg,data/data_C4/masks_C4/20_endocv2021_positive_782_mask.jpg
47,data/data_C4/images_C4/20_endocv2021_positive_873.jpg,data/data_C4/masks_C4/20_endocv2021_positive_873_mask.jpg
48,data/data_C4/images_C4/20_endocv2021_positive_994.jpg,data/data_C4/masks_C4/20_endocv2021_positive_994_mask.jpg
49,data/data_C4/images_C4/21_endocv2021_positive_1129.jpg,data/data_C4/masks_C4/21_endocv2021_positive_1129_mask.jpg
50,data/data_C4/images_C4/21_endocv2021_positive_1207.jpg,data/data_C4/masks_C4/21_endocv2021_positive_1207_mask.jpg
51,data/data_C4/images_C4/21_endocv2021_positive_1321.jpg,data/data_C4/masks_C4/21_endocv2021_positive_1321_mask.jpg
52,data/data_C4/images_C4/21_endocv2021_positive_1482.jpg,data/data_C4/masks_C4/21_endocv2021_positive_1482_mask.jpg
53,data/data_C4/images_C4/21_endocv2021_positive_1498.jpg,data/data_C4/masks_C4/21_endocv2021_positive_1498_mask.jpg
54,data/data_C4/images_C4/21_endocv2021_positive_812.jpg,data/data_C4/masks_C4/21_endocv2021_positive_812_mask.jpg
55,data/data_C4/images_C4/21_endocv2021_positive_829.jpg,data/data_C4/masks_C4/21_endocv2021_positive_829_mask.jpg
