,image,mask
0,data/data_C3/images_C3/C3_EndoCV2021_00103.jpg,data/data_C3/masks_C3/C3_EndoCV2021_00103_mask.jpg
1,data/data_C3/images_C3/C3_EndoCV2021_00104.jpg,data/data_C3/masks_C3/C3_EndoCV2021_00104_mask.jpg
2,data/data_C3/images_C3/C3_EndoCV2021_00105.jpg,data/data_C3/masks_C3/C3_EndoCV2021_00105_mask.jpg
3,data/data_C1/images_C1/471OLCV1_100H0008.jpg,data/data_C1/masks_C1/471OLCV1_100H0008_mask.jpg
4,data/data_C5/images_C5/EndoCV2021_C5_50000048.jpg,data/data_C5/masks_C5/EndoCV2021_C5_50000048_mask.jpg
5,data/data_C5/images_C5/EndoCV2021_C5_50000049.jpg,data/data_C5/masks_C5/EndoCV2021_C5_50000049_mask.jpg
6,data/data_C6/images_C6/EndoCV2021_C6_0100101.jpg,data/data_C6/masks_C6/EndoCV2021_C6_0100101_mask.jpg
7,data/data_C6/images_C6/EndoCV2021_C6_0100102.jpg,data/data_C6/masks_C6/EndoCV2021_C6_0100102_mask.jpg
8,data/data_C6/images_C6/EndoCV2021_C6_0100103.jpg,data/data_C6/masks_C6/EndoCV2021_C6_0100103_mask.jpg
9,data/data_C6/images_C6/EndoCV2021_C6_0100107.jpg,data/data_C6/masks_C6/EndoCV2021_C6_0100107_mask.jpg
10,data/data_C3/images_C3/C3_EndoCV2021_009.jpg,data/data_C3/masks_C3/C3_EndoCV2021_009_mask.jpg
11,data/data_C1/images_C1/398OLCV1_100H0004.jpg,data/data_C1/masks_C1/398OLCV1_100H0004_mask.jpg
12,data/data_C1/images_C1/242OLCV1_100H0012.jpg,data/data_C1/masks_C1/242OLCV1_100H0012_mask.jpg
13,data/data_C3/images_C3/C3_EndoCV2021_0051.jpg,data/data_C3/masks_C3/C3_EndoCV2021_0051_mask.jpg
14,data/data_C1/images_C1/547OLCV1_100H0004.jpg,data/data_C1/masks_C1/547OLCV1_100H0004_mask.jpg
15,data/data_C1/images_C1/419OLCV1_100H0006.jpg,data/data_C1/masks_C1/419OLCV1_100H0006_mask.jpg
16,data/data_C1/images_C1/419OLCV1_100H0014.jpg,data/data_C1/masks_C1/419OLCV1_100H0014_mask.jpg
17,data/data_C1/images_C1/419OLCV1_100H0016.jpg,data/data_C1/masks_C1/419OLCV1_100H0016_mask.jpg
18,data/data_C1/images_C1/419OLCV1_100H0020.jpg,data/data_C1/masks_C1/419OLCV1_100H0020_mask.jpg
19,data/data_C1/images_C1/419OLCV1_100H0026.jpg,data/data_C1/masks_C1/419OLCV1_100H0026_mask.jpg
20,data/data_C3/images_C3/C3_EndoCV2021_00483.jpg,data/data_C3/masks_C3/C3_EndoCV2021_00483_mask.jpg
21,data/data_C3/images_C3/C3_EndoCV2021_00484.jpg,data/data_C3/masks_C3/C3_EndoCV2021_00484_mask.jpg
22,data/data_C3/images_C3/C3_EndoCV2021_00485.jpg,data/data_C3/masks_C3/C3_EndoCV2021_00485_mask.jpg
23,data/data_C3/images_C3/C3_EndoCV2021_00486.jpg,data/data_C3/masks_C3/C3_EndoCV2021_00486_mask.jpg
24,data/data_C3/images_C3/C3_EndoCV2021_00487.jpg,data/data_C3/masks_C3/C3_EndoCV2021_00487_mask.jpg
25,data/data_C3/images_C3/C3_EndoCV2021_00488.jpg,data/data_C3/masks_C3/C3_EndoCV2021_00488_mask.jpg
26,data/data_C3/images_C3/C3_EndoCV2021_00489.jpg,data/data_C3/masks_C3/C3_EndoCV2021_00489_mask.jpg
27,data/data_C3/images_C3/C3_EndoCV2021_00490.jpg,data/data_C3/masks_C3/C3_EndoCV2021_00490_mask.jpg
28,data/data_C1/images_C1/405OLCV1_100H0002.jpg,data/data_C1/masks_C1/405OLCV1_100H0002_mask.jpg
29,data/data_C5/images_C5/EndoCV2021_C5_50000036.jpg,data/data_C5/masks_C5/EndoCV2021_C5_50000036_mask.jpg
30,data/data_C3/images_C3/C3_EndoCV2021_00111.jpg,data/data_C3/masks_C3/C3_EndoCV2021_00111_mask.jpg
